id,archivo,offset,tipo,longitud_original,texto_original,traduccion_ia,traduccion
1,STGDATA.BIN,0x00F514,dialogo,10,# of turns,,
2,STGDATA.BIN,0x00F520,dialogo,13,NPC remaining,,
3,STGDATA.BIN,0x00F52E,dialogo,16,Obstacles destro,,
4,STGDATA.BIN,0x00FEB4,dialogo,13,ù[0x05]Methane WZR,,
5,STGDATA.BIN,0x01122E,dialogo,11,µ[0x0F]Yongsai 3,,
6,STGDATA.BIN,0x0183F5,sistema,35,´R4[0x11]×n=[0x8B]Ë>[0x0D]uÈ>[0x0D]ïÔn=[0x86]ëÎ2zèÎ2[CMD]#!;ç !;,,
7,STGDATA.BIN,0x01888E,dialogo,8,[0x05][0x03]/o[0x17]y o,,
8,STGDATA.BIN,0x02D174,dialogo,16,?   ?? ?h[0x04]c[0x04]i[0x04]b[0x04],,
9,STGDATA.BIN,0x02D1BC,dialogo,19, _?_ @?@l[0x04]h[0x04]m[0x04]i[0x04]Ây[0x17],,
10,STGDATA.BIN,0x02D4C4,dialogo,19, ???  ? a[0x04]_[0x04]µ[0x03]¶[0x03]Ây[0x17],,
11,STGDATA.BIN,0x02EC70,dialogo,16,?? ??   o[0x04]n[0x04]p[0x04]K[0x04],,
12,STGDATA.BIN,0x035960,dialogo,145,:[NAME_END];[NAME_END]<[NAME_END]=[NAME_END]>[NAME_END]?[NAME_END]@[NAME_END]A[NAME_END]B[NAME_END]C[NAME_END]D[NAME_END]E[NAME_END]F[NAME_END]G[NAME_END]H[NAME_END]I[NAME_END]J[NAME_END]K[NAME_END]L[NAME_END]M[NAME_END]N[NAME_END]O[NAME_END]P[NAME_END]Q[NAME_END]R[NAME_END]S[NAME_END]T[NAME_END]U[NAME_END]V[NAME_END]W[NAME_END]X[NAME_END]Y[NAME_END]Z[NAME_END][[NAME_END]\[NAME_END]][NAME_END]^[NAME_END]_[NAME_END]`[NAME_END]a[NAME_END]b[NAME_END]c[NAME_END]d[NAME_END]e[NAME_END]f[NAME_END]g[NAME_END]h[NAME_END]i[NAME_END]j[NAME_END]k[NAME_END]l[NAME_END]m[NAME_END]n[NAME_END]o[NAME_END]p[NAME_END]q[NAME_END]r[NAME_END]s[NAME_END]t[NAME_END]u[NAME_END]v[NAME_END]w[NAME_END]x[NAME_END]y[NAME_END]z[NAME_END]{[NAME_END]¼[NAME_END]½[NAME_END]¾[NAME_END]¿[NAME_END]À[NAME_END]Á[NAME_END][0x0E],,
13,STGDATA.BIN,0x036DFC,menu,60,System check completed.[NEWLINE]Load the pilot data into the[NL]system.,,
14,STGDATA.BIN,0x036E3A,menu,39,[NL]Roger.[NL]I'm loading the pilot data now.,,
15,STGDATA.BIN,0x036E62,menu,64,Load confirmed.[NEWLINE]The final test for the SHUNYO[NL]will now commence.,,
16,STGDATA.BIN,0x036EA4,dialogo,49,"We're ready on our side.[NL][NAME_START][NAME_END], activate the[NL]wanzer.",,
17,STGDATA.BIN,0x036EE6,menu,79,"Activation confirmed.[NEWLINE]First, we'll check movement.[NL]Move to the designated area.",,
18,STGDATA.BIN,0x036F44,mision,53,[NL][NL]   Winning conditions:[NL][NL]    {Reach target location.,,
19,STGDATA.BIN,0x036F7A,dialogo,23,   Received [ITEM_START]Repair[ITEM_END]   ,,
20,STGDATA.BIN,0x036F92,dialogo,26,  Received [ITEM_START]Repair High[ITEM_END]  ,,
21,STGDATA.BIN,0x036FAE,dialogo,26,  Received [ITEM_START]Restore Low[ITEM_END]  ,,
22,STGDATA.BIN,0x036FCA,dialogo,27,  Received [ITEM_START]Restore High[ITEM_END]  ,,
23,STGDATA.BIN,0x036FE6,dialogo,53,Target location reached.[NEWLINE]We'll check the weapons now.,,
24,STGDATA.BIN,0x03701C,menu,50,That wanzer's left arm is equipped[NL]with a shotgun.,,
25,STGDATA.BIN,0x037050,dialogo,67,You can also fight hand-to-hand[NL]with the knuckles on the right[NL]arm.,,
26,STGDATA.BIN,0x037094,dialogo,134,"I need both ranged and close[NL]combat data.[NEWLINE]Use both weapons to attack the[NL]wanzer.[NEWLINE]Auto-pilot is not set on combat[NL]mode, so you're safe.",,
27,STGDATA.BIN,0x03711E,mision,50,[NL][NL]   Winning conditions:[NL][NL]    {Destroy auto-wanzer,,
28,STGDATA.BIN,0x037152,dialogo,26,Good.[NL]That should do it...,,
29,STGDATA.BIN,0x03716E,dialogo,12,JDF Engineer,,
30,STGDATA.BIN,0x03717C,dialogo,17,Hold on a minute.,,
31,STGDATA.BIN,0x03718E,dialogo,46,"[NAME_START][NAME_END], what's wrong?[NL]We can't get data like this.",,
32,STGDATA.BIN,0x0371BE,dialogo,57,"Ah, don't get mad.[NEWLINE]Oh, by the way, I have a favor[NL]to ask.",,
33,STGDATA.BIN,0x0371F8,dialogo,78,"[NAME_START][NAME_END], what's wrong?[NEWLINE]You have to do this right if we[NL]hope to get any usable data.",,
34,STGDATA.BIN,0x037250,dialogo,58,I want you to set it to combat[NL]mode and continue the test.,,
35,STGDATA.BIN,0x03728C,dialogo,12,Combat mode?,,
36,STGDATA.BIN,0x03729A,dialogo,55,I got orders to obtain data that[NL]resembles real combat.,,
37,STGDATA.BIN,0x0372D2,dialogo,84,"If you need real combat data,[NL]get it after delivery.[NEWLINE]That test pilot is one of ours.",,
38,STGDATA.BIN,0x037328,dialogo,62,"Yeah, I know.[NEWLINE]We might purchase this model based[NL]on this data.",,
39,STGDATA.BIN,0x037368,dialogo,12,But still...,,
40,STGDATA.BIN,0x037376,dialogo,11,I'll do it.,,
41,STGDATA.BIN,0x037382,dialogo,43,"Hey, [NAME_START][NAME_END]![NL]You know what you're getting into?",,
42,STGDATA.BIN,0x0373AE,dialogo,54,I'll be fine![NL]This wanzer's better than any JDF[NL]model.,,
43,STGDATA.BIN,0x0373E6,dialogo,82,"I appreciate it.[NEWLINE]Well, you've gone this far;[NL]might as well go the full nine[NL]yards.",,
44,STGDATA.BIN,0x03743A,dialogo,24,"...Fine.[NL][NAME_START][NAME_END], be careful.",,
45,STGDATA.BIN,0x03745C,dialogo,62,"It's older, but it's using real[NL]bullets.[NL]You can quit anytime.",,
46,STGDATA.BIN,0x03749E,mision,107,[NL][NL]   Winning conditions:[NL][NL]    {Destroy auto-wanzer[NL][NL][NL]   Losing conditions:[NL][NL]    {Player pilot is destroyed.,,
47,STGDATA.BIN,0x03750A,dialogo,25,  Received [ITEM_START]Repair Max[ITEM_END]  ,,
48,STGDATA.BIN,0x037524,dialogo,43,"Good job, [NAME_START][NAME_END].[NL]The test's over.[NL]You're done.",,
49,STGDATA.BIN,0x037550,dialogo,10,Copy that!,,
50,STGDATA.BIN,0x03755C,dialogo,25,Your destination is here.,,
51,STGDATA.BIN,0x03757E,dialogo,77,Movable distance is colored in blue.[NEWLINE]Move the cursor to the desired location.,,
52,STGDATA.BIN,0x0375CC,menu,60,"Once movement is finished,[NL]select END from the command menu.",,
53,STGDATA.BIN,0x03760A,dialogo,63,Some terrain is hard to see.[NL]Use [0x08][NAME_END][0x04] and [0x08][NAME_END][0x05] to rotate the map.,,
54,STGDATA.BIN,0x03764A,dialogo,24,"[0x18][0x08][NAME_END][0x04] will rotate left,[0x13][NL]",,
55,STGDATA.BIN,0x037664,dialogo,25,[0x18][0x08][NAME_END][0x05] will rotate right.[0x13][NL],,
56,STGDATA.BIN,0x03767E,menu,23,Confirming destination.,,
57,STGDATA.BIN,0x037696,menu,72,"After movement, select ATTACK from the[NL]command menu to attack the enemy.",,
58,STGDATA.BIN,0x0376E0,dialogo,69,Attack range depends on the weapon.[NEWLINE]The shotgun's range is 3 squares.,,
59,STGDATA.BIN,0x037726,menu,57,Selecting ATTACK will display the attack[NL]range in orange.,,
60,STGDATA.BIN,0x037760,dialogo,34,Melee weapons have a range of one.,,
